startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_phone,startup_email
"ta-da annonce une levée de 3,5 millions $ pour sa plateforme de collecte et d’annotation de data",3 500 000 €,11/01/2024,https://www.jaimelesstartups.fr/news/ta-da-annonce-une-levee-de-35-millions-e-pour-son-outil-dannotation-de-data/,,,,,,
Spiritory lance son application d’achat / vente de whisky en France,150000,09/01/2024,https://www.jaimelesstartups.fr/news/spiritory-lance-son-application-dachat-vente-de-whisky-en-france/,,,,,,
OKS le réseau social des créateurs de contenu annonce une levée de 1.5 M€ et son lancement en janvier 2024,1 500 000€,20/12/2023,https://www.jaimelesstartups.fr/news/oks-le-reseau-social-des-createurs-de-contenu-annonce-une-levee-de-1-5-me-et-son-lancement-en-janvier-2024/,,,,,,
La BEI a signé une opération de titrisation synthétique avec BNP Paribas pour soutenir les PME et ETI à hauteur de 425 millions €,425 000 000 €,20/12/2023,https://www.jaimelesstartups.fr/news/la-bei-a-signe-une-operation-de-titrisation-synthetique-avec-bnp-paribas-pour-soutenir-les-pme-et-eti-a-hauteur-de-425-millions-e/,,,,,,
Babasport,100 000,19/12/2023,https://www.jaimelesstartups.fr/babasport-plateforme-reservation-activites-ludiques-et-sportives/,,,,,,
La startup colombienne Unergy lève 500 K€ en Europe,500 000€,15/12/2023,https://www.jaimelesstartups.fr/news/la-startup-colombienne-unergy-leve-500-ke-en-europe/,,,,,,
La startup Pivot annonce déjà une série A de 20 millions €,20 millions,13/12/2023,https://www.jaimelesstartups.fr/news/la-startup-pivot-annonce-deja-une-serie-a-de-20-millions-e/,,,,,,
"Dionymer annonce une levée de 1,5M€ pour transformer les déchets organiques en bio-plastiques",1 500 000,13/12/2023,https://www.jaimelesstartups.fr/news/dionymer-annonce-une-levee-de-15me-pour-transformer-les-dechets-organiques-en-bio-plastiques/,,,,,,
COOPLEO,300000,11/12/2023,https://www.jaimelesstartups.fr/coopleo-lateforme-pour-la-therapie-de-couple/,,,,,,
Medaviz lance 11 réseaux de téléexpertise pour les professionels de la santé,6 000 000€,11/12/2023,https://www.jaimelesstartups.fr/news/medaviz-lance-11-reseaux-de-teleexpertise-pour-les-professionels-de-la-sante/,,,,,,
Mistral devient la 34ème licorne française avec une levée de 385 millions €,385 millions €,11/12/2023,https://www.jaimelesstartups.fr/news/mistral-devient-la-34eme-licorne-francaise-avec-une-levee-de-385-millions-e/,,,,,,
Remixt annonce une levée de 420 000 € pour ses ateliers d’inclusion,420000,08/12/2023,https://www.jaimelesstartups.fr/news/remixt-annonce-une-levee-de-420-000-e-pour-ses-ateliers-dinclusion/,,,,,,
Qubit Pharmaceuticals,16 000 000 euros (2022),07/12/2023,https://www.jaimelesstartups.fr/qubit-pharmaceuticals-creation-de-nouveaux-medicaments-grace-aux-ordinateurs-quantiques/,,,,,,
Goliaths,2M,06/12/2023,https://www.jaimelesstartups.fr/goliaths-investir-en-bourse-des-2-euros/,,,,,,
Scienta Lab annonce une levée de 4 millions pour sa solution recherche couplée avec une IA,4 000 000,05/12/2023,https://www.jaimelesstartups.fr/news/scienta-lab-annonce-une-levee-de-4-millions-pour-sa-solution-recherche-couplee-avec-une-ia/,,,,,,
